gene,MetS,SI
ADGRF3,6.728567687999999,-9.195110713
ADGRG3,0.47459075700000003,9.365005953999999
ADGRG5,4.328386618,5.453054487999999
ADGRG6,-3.522259088,0.041291444
ADGRL1,1.175014992,-3.919568369
ADHFE1,-1.511309335,-9.289634803
ADI1,0.195085234,-9.076626509
ADIPOR1,2.195650691,4.2073477210000005
ADIPOR2,3.052866033,7.659508
ADK,-6.810016453999999,-6.483861955
ADM,-1.557576082,7.275080612999999
ADM2,-0.533510952,-2.8420403010000004
ADNP,1.708715959,-7.177663206
ADNP2,3.9743768619999997,-9.759763187
ADO,3.7309077719999997,-4.033178271000001
ADORA1,9.981124372,-4.127078873
ADORA2A-AS1,0.438173706,-8.704210645
ADORA2A,1.854696573,-9.76559622
ADORA2B,-3.881068467,-3.325317342
ADPGK,-1.249783425,-10.67306261
ADPRH,-5.02210201,3.813943669
ADPRHL1,7.577749315,-9.38326639
ADPRHL2,-1.8181156569999999,-3.42657931
ADPRM,-1.006551502,-5.94624594
ADRA2A,-5.427991358,6.189164586
ADRB2,5.119552973,4.493106728
ADRM1,5.481421761,5.659396878
ADSS,0.581383689,-10.13801423
ADSSL1,9.528933957000001,-3.242191511
ADTRP,-0.85985699,-9.156332426
AEBP1,3.559573622,-6.196177916
AEBP2,1.427783139,-6.566572674
AEN,2.335433575,-8.972280646
AFAP1L2,-3.325284543,-6.793692384
AFDN,-4.007735646,-2.145385496
AFF1,-1.201822442,-6.355160983999999
AFF2,8.700868074,-8.797831118
AFF3,-5.101184877,-9.399153817
AFF4,-5.658511332000001,-2.754671983
AFG1L,-5.0361934889999995,-8.128792946
AFG3L2,-3.8746808180000003,-7.989196893
AFMID,7.720395002,-8.689255191
AFTPH,-3.978942772,-4.376508306
AGA,2.248586494,-11.86191898
AGAP1,-1.9646835180000002,1.6272414780000002
AGAP2,9.145144382,-2.077032792
AGAP3,8.948898338,-3.635434904
AGAP4,-6.156548132,-0.768895683
AGBL2,1.566342324,-7.524256208
AGBL3,-1.240897912,-10.46864844
AGBL5,-0.7766913059999999,-10.02480175
AGFG1,3.808551207,-6.909056908999999
AGFG2,10.02730208,-5.829419287
AGGF1,-0.6187179660000001,-6.120720763
AGK,1.833299873,-10.55051378
AGL,-5.555680279,-1.198081604
AGMAT,0.12016353699999999,-8.765123785
AGO1,-3.025107065,0.530609118
AGO2,2.120240609,6.341612186
AGO3,1.063711233,-9.341607112
AGO4,-2.943714483,-5.370587856
AGPAT2,4.018988792,8.047184558
AGPAT3,12.70058153,-2.0865778440000002
AGPAT4,7.29860311,0.52037175
AGPAT5,-4.5518465180000005,-9.167072207999999
AGPS,-0.43264653799999997,-3.1459661939999997
AGRN,-3.772217243,-2.953807103
AGTPBP1,1.192826282,-0.674527766
AGTRAP,1.48807121,8.768580505
AHCTF1,-2.257244079,2.876914124
AHCY,6.593597539,-5.874881397999999
AHCYL1,4.37774096,-10.72983616
AHCYL2,4.1920375210000005,-11.97891568
AHDC1,10.75969628,-7.537188282000001
AHI1,-1.722181564,-7.786123676
AHNAK,10.43094855,2.999461153
AHNAK2,8.680663872,-9.980040089
AHR,4.506835422,-2.117295767
AHRR,-3.5269696180000003,-7.05988795
AHSA1,-6.903315526,1.6740567780000002
AHSA2P,1.049500734,-9.590281841
AHSP,0.9626242709999999,9.773907859
AIDA,-1.866117199,-10.29873787
AIFM1,9.239460096,-0.36397369799999996
AIFM2,4.835528796,-10.46406799
AIFM3,6.72991413,3.844593681
AIG1,-2.964876962,-4.300218392
AIM2,2.221715589,1.629902451
AIMP1,0.05737533,-8.521936732999999
AIMP2,10.67572162,2.830101654
AIP,3.383332887,7.466689617999999
AIRE,8.934928535,1.596985546
AJUBA,3.079115564,-9.903135451
AK1,-0.44338412299999996,-0.7325101390000001
AK2,5.435198982999999,-9.136319405
AK3,-5.955150092999999,-6.93760818
AK4,10.48173557,-4.177396259
AK5,3.818993201,-11.30364711
AK6,2.730334226,1.387794833
AK9,-3.300076265,-11.10257051
AKAP1,0.296587908,-10.01865662
AKAP10,2.198838684,-11.52224909
AKAP11,-3.4564811910000004,-6.6948281960000005
AKAP12,-8.366650858,-6.237770418999999
AKAP13,5.145076567,3.253012835
AKAP3,-1.310665629,-5.817228532000001
AKAP5,-3.820856488,-5.572147021
AKAP6,-4.6232110330000005,-9.124680532000001
AKAP7,-1.7580879219999999,-5.183573632
AKAP8,5.572881611000001,-10.02721445
AKAP8L,7.515966397000001,-3.8673528530000003
AKAP9,-0.7572377290000001,-7.804178562000001
AKIP1,3.273826487,-9.625313638
AKIRIN1,-3.696185985,-7.7603702000000006
AKIRIN2,1.4286867719999998,-8.369897689
AKNA,7.360618982999999,3.023613265
AKR1A1,3.940798965,5.027960631
AKR1B1,4.225466358,-3.945950844
AKR1C1,3.507311589,-11.57386865
AKR1C3,1.531999255,-1.784704597
AKR1E2,4.368096864,-11.00057612
AKR7A2,6.741942976,2.238614206
AKR7A3,-1.889694718,-5.6869108939999995
AKT1,4.927863613,-5.964105921
AKT2,8.398587758,-6.67311349
AKT3,-3.907345287,-3.305809713
AKTIP,4.295622253,-10.76549687
AL022313.1,-1.17096733,-9.492245142
AL035411.1,5.6477416,-8.635262499
AL049834.1,6.0886753979999995,3.991788257
AL078621.1,7.648790295,6.058742028999999
AL096870.1,10.11359838,-6.641956642999999
AL121768.1,-6.411694455,-7.402669296
AL139352.1,0.15497091699999999,-3.3112396669999997
AL353743.1,-4.37303884,-9.990507095
AL355922.1,7.297832773,-9.439030527
AL365205.1,9.712768583999999,-5.460865797
AL450998.1,7.821980802000001,-1.472258773
AL450998.2,-1.4204877280000001,0.135892122
AL512625.1,-3.4151238580000003,0.305082427
AL590139.1,0.023625896,-3.260127456
AL591845.1,5.654825868,-9.180465417
AL669983.1,11.20849341,-2.59883043
AL672207.1,10.75779759,-0.843217517
ALAD,5.5617062829999995,-10.722946400000001
ALAS1,2.995932593,2.160297604
ALAS2,-3.9593259869999997,3.570618212
ALCAM,-3.0208800080000002,-9.776632754
ALDH16A1,12.21387748,-0.229863535
ALDH18A1,11.00524589,-4.829942818999999
ALDH1A1,0.8667856540000001,-8.551990745
ALDH1A2,-6.029911596,-1.454886151
ALDH1B1,11.28505373,-5.373625787999999
ALDH2,5.101174642,0.611532655
ALDH3A2,-0.912396097,-9.252506452
ALDH3B1,11.44920283,-0.892691694
ALDH4A1,11.09051256,-3.960618948
ALDH5A1,-0.38791023399999996,-9.271279602
ALDH6A1,7.880689972000001,-6.8658228370000005
ALDH7A1,-0.68728739,-5.708842988
ALDH8A1,-0.25183938899999997,0.301410144
ALDH9A1,7.76698814,-9.379840524
ALDOA,5.1764326789999995,7.870097519
ALDOC,6.423722884,-4.608807691
ALG1,10.5679683,-8.182899917
ALG10,-6.075998907000001,2.8547930960000003
ALG10B,1.785175351,-2.9944928589999997
ALG12,4.141001777,-11.70512422
ALG13,-2.263488453,-7.52678893
ALG14,-2.112811336,-3.352963444
ALG2,2.476386846,-10.67391363
ALG5,-1.3635969909999999,-1.542663605
ALG6,1.346967009,-6.9354230679999995
ALG8,5.418232906,-7.398908608999999
ALG9,4.666556591,-11.23693633
ALKBH1,4.344991316000001,-11.95567954
ALKBH2,4.34863013,-10.03827095
ALKBH3,10.24803093,-6.688083273999999
ALKBH4,4.305999948,-12.02727328
ALKBH5,6.665976428,3.66635964
ALKBH7,7.4799490639999995,-5.063914036
ALKBH8,-0.047129972,-7.464898703999999
ALMS1,3.331037418,-3.436423459
ALOX12,-5.066658567,-5.701757011000001
ALOX15,4.602721942,-0.31436184
ALOX15B,3.746738806,-12.06783795
ALOX5,4.713225663,6.224321777999999
ALOX5AP,-5.198206259,6.17219205
ALPK1,-1.787327946,-1.369935598
ALPK3,-8.742154251,-0.51991739
ALPL,0.7669883409999999,10.06980693
ALS2,-7.673215285,-7.588857452
ALS2CL,2.034705048,-11.47728661
ALYREF,1.8425850609999999,6.908980725
AMBRA1,7.792092092000001,-8.803232592
AMD1,-6.038267687,-7.822699732
AMDHD1,-2.0172703359999997,-0.094443206
AMDHD2,-3.073575641,2.1622656190000002
AMER1,3.0228644719999997,-10.33696412
AMFR,2.762890665,-11.15217459
AMIGO1,4.750831048,-11.18321376
AMIGO2,-0.48310259899999997,-7.450488241
AMMECR1,3.3538173089999996,-8.024748108999999
AMMECR1L,-4.203589589,2.260884866
AMN,-1.529465426,-7.63294054
AMN1,-2.454406114,-9.476475025
AMOT,2.825984558,3.1952666919999997
AMOTL1,1.156013486,5.423546205
AMPD2,1.3898923730000001,-2.979756029
AMPD3,2.274731212,-10.86618863
AMPH,3.660758552,6.078298902999999
AMT,-0.483366943,-9.092676097
ANAPC1,4.228389895,-6.669303674
ANAPC10,5.753900005,-7.407163128
ANAPC11,6.315252944,6.939564967000001
ANAPC13,7.211816794,-11.06267819
ANAPC15,8.581350836,0.693783818
ANAPC16,0.677331241,-10.04677101
ANAPC2,7.412614678,-6.50486292
ANAPC4,4.685181769,-10.18318464
ANAPC5,4.954082563,-3.1255664860000003
ANGEL1,2.045326675,-12.45274008
ANGEL2,-0.107409554,-6.872398774
ANGPT1,0.494487932,-7.961914984
ANGPT4,7.320808399,-4.968900533999999
ANGPTL6,3.27099366,-8.242090877
ANK1,6.1182583820000005,7.36483924
ANK3,4.989794742,-5.98735121
ANKAR,1.933512245,-7.0626638370000006
ANKDD1A,-0.31733044,-10.21360914
ANKEF1,-0.75748862,-8.74868871
ANKFY1,0.223432591,-7.558232444
ANKH,3.282715693,-5.320006287
ANKHD1,1.433940021,-6.240760766
ANKIB1,0.606617579,-7.647686492999999
ANKK1,-4.908920117,-7.209091764
ANKLE1,9.360345076,-4.807170805
ANKLE2,0.159175815,-10.71590187
ANKMY1,8.139233775,0.248708541
ANKMY2,2.156088609,-4.18296512
ANKRA2,-3.6569537260000002,-7.830526534
ANKRD10,-1.50884878,-8.435910824
ANKRD11,8.460260145,-1.218183641
ANKRD12,-2.570808535,-2.748804738
ANKRD13A,-2.24960824,-5.6320339420000005
ANKRD13C,-1.317527568,-8.909208285
ANKRD13D,3.412907278,0.586806986
ANKRD16,-3.844876153,-7.232191723
ANKRD17,4.27452935,-2.683333278
ANKRD19P,3.93117023,-8.198206685
ANKRD20A5P,-6.987954921,-5.737049444
ANKRD22,2.06915209,4.541079028
ANKRD23,-3.589594206,-8.663791631
ANKRD24,-0.576796293,-8.054558233
ANKRD26,7.7057539539999995,-3.937469529
ANKRD27,0.514136578,3.7976969730000003
ANKRD34B,7.183989147999999,-7.916947801
ANKRD36,-0.639590068,-9.891279741
ANKRD36C,-0.048901993,-4.163012394
ANKRD37,3.489885345,-5.885096937
ANKRD40,-0.754430942,-8.868408169
ANKRD42,1.88538333,-12.19559995
ANKRD44,-6.086537475,-5.442865386
ANKRD46,-2.574780098,-6.969260329
ANKRD49,1.367907645,-8.058950608
ANKRD50,-0.5869435120000001,-10.05687286
ANKRD52,6.878688273,-8.018757234
ANKRD54,10.17881819,-7.737415272000001
ANKRD55,7.123873099,-8.003935429
ANKRD6,5.1389585989999995,-6.203369949
